Id,Label,URL,Datatype,Uses in statements,Items with such statements,Uses in statements with qualifiers,Uses in qualifiers,Uses in references,Uses in properties,Uses total,Related properties
P2342,"AGORHA person/institution ID",http://www.wikidata.org/entity/P2342,String,5469,5441,0,2,0,0,5471,"Commons Creator page@Web Gallery of Art identifier@NGA artist id@RKDartists@ULAN identifier@notable work@British Museum person-institution@J. Paul Getty Museum artist id@Musée d'Orsay artist ID@French Sculpture Census ID@Structurae person ID@Thyssen-Bornemisza artist id@BBC Your Paintings artist identifier@patron@student of@Artsy artist ID@French diocesan architects ID@Musopen composer ID@Open Library identifier@National Gallery of Victoria artist identifier@PSS-Archi architect id@NTA identifier (Netherlands)@SUDOC authorities@ISNI@Léonore ID@CERL ID@languages spoken or written@BnF identifier@student@place of death@LCAuth identifier@movement@BALaT person/organisation id@CPDL ID@BBC program identifier@CTHS person ID@GND identifier@CESAR person ID@CANTIC@list of works@Dictionary of Art Historians ID@Cooper-Hewitt Person ID@MoMA artist id@PTBNP identifier@BAV (Vatican Library) identifier@Stuttgart Database of Scientific Illustrators ID@VIAF identifier@Gran Enciclopèdia Catalana ID@Sandrart.net person ID@People Australia identifier@place of birth@date of death@described by source@Dizionario Biografico degli Italiani@Smithsonian American Art Museum: person/institution thesaurus id@SELIBR@IPI number@Encyclopædia Britannica Online ID@NLA (Australia) identifier@godparent@Sikart@NKC identifier@BNE identifier@NLR (Romania) identifier@Kunstindeks Danmark Artist ID@SBN identifier@EGAXA identifier@occupation@country of citizenship@National Library of Ireland authority@place of burial@collection or exhibition size@influenced by@NUKAT (WarsawU) authorities@Commons category@National Portrait Gallery (London) person identifier@date of birth@given name@award received@image@Helveticarchives ID@AGORHA work ID@native language@Freebase identifier@DBNL ID@Project Gutenberg author ID@sex or gender@signature@Library of Congress JukeBox ID@birth name@IMSLP ID@Low German Bibliography and Biography ID@FAST-ID@OpenPlaques subject identifier@Biografisch Portaal number@stepfather@KDG Komponisten der Gegenwart@partner@NLI (Israel) identifier@academic major@Commons gallery@NILF author id@relative@RSL identifier (person)@NNDB people ID@stepmother@date of baptism in early childhood@CLARA-ID@member of@EMLO person identifier@PACE member ID@BMLO@NDL identifier@BiblioNet author identifier@field of work@ODIS ID@represented by@NSK identifier@educated at@genealogics.org person ID@image of grave@Teuchos ID@Fashion Model Directory designer ID@child@GTAA id@work location@KLfG Kritisches Lexikon der fremdsprachigen Gegenwartsliteratur@Perlentaucher ID@KulturNav-id@commemorative plaque image@LAC identifier@HDS@Spotify artist ID@Munzinger IBA@NLP identifier@father@brother@senat.fr ID"
P579,"IMA status and/or rank",http://www.wikidata.org/entity/P579,Item,5420,5253,1091,178,1,0,5599,"Nickel-Strunz 10th (pending) edition@IMA Number, broad sense@Nickel-Strunz 9th edition (updated 2009)@Strunz 8th edition (series ID)@crystal system@Dana 8th edition@space group@chemical formula@cleavage@Solid solution series with@Mohs' hardness@streak color@fracturing@crystal habit@twinning@general formula@named after@subclass of@refractive index@point group@sublimation temperature@decomposition point@AAT identifier@EAGLE id"
P1184,"handle",http://www.wikidata.org/entity/P1184,String,5439,5431,0,0,0,0,5439,"depicts Iconclass notation@material used@RKDimages@Europeana ID@inventory number@circle of@collection@creator@location@ploidy@depicts@catalog code@inception@CONA  identifier@genre@pendant of@inscription@fabrication method@image@described by source@coordinates of the point of view@country@height@shape@(OBSOLETE) inscription (use P1684)@movement"
P247,"COSPAR ID",http://www.wikidata.org/entity/P247,String,5397,5397,0,0,0,0,5397,"SCN@location of spacecraft launch@space launch vehicle@time of spacecraft launch@space tug@type of orbit@time of spacecraft landing@spacecraft@orbits completed@location of landing@crew member@docking port@spacecraft docking/undocking@received signal@time of spacecraft orbit decay@transmitted signal@carries scientific instrument@launch contractor@focal length@Lagrangian point@satellite bus@feed URL@source of energy@operator@Minor Planet Center observatory code@call sign"
P377,"SCN",http://www.wikidata.org/entity/P377,String,5391,5391,0,0,0,0,5391,"COSPAR ID@location of spacecraft launch@space launch vehicle@time of spacecraft launch@space tug@type of orbit@spacecraft@time of spacecraft landing@orbits completed@location of landing@crew member@docking port@spacecraft docking/undocking@received signal@time of spacecraft orbit decay@transmitted signal@carries scientific instrument@launch contractor@focal length@Lagrangian point@satellite bus@feed URL@source of energy@operator@Minor Planet Center observatory code@call sign"
P375,"space launch vehicle",http://www.wikidata.org/entity/P375,Item,5372,5372,0,0,0,0,5372,"location of spacecraft launch@time of spacecraft launch@SCN@COSPAR ID@space tug@docking port@spacecraft docking/undocking@launch contractor@received signal@time of spacecraft orbit decay@transmitted signal@time of spacecraft landing@type of orbit@spacecraft@carries scientific instrument@orbits completed@crew member@Lagrangian point@satellite bus@location of landing@source of energy@feed URL@call sign@avionics"
P768,"electoral district",http://www.wikidata.org/entity/P768,Item,113,107,9,5249,2,0,5364,"income classification (Philippines)@electorate@Philippine Standard Geographic Code@legislative body@office held by head of government@demonym@total valid votes@eligible voters@candidate@local dialing code@locator map image@ballots cast@population@nickname@motto text@officeholder@time of earliest written record@FIPS 10-4 (countries and regions)@Politifact Personality Identifier@Openpolis ID@inception@postal code@seal image@official website@Finnish Ministers database ID@GeoNames ID@successful candidate@patron saint@Freebase identifier@image@Declarator.org ID@Commons category@contains administrative territorial entity@Finnish MP ID@coordinate location@(OBSOLETE) birth name (use P1477)@located in the administrative territorial entity@Wikivoyage banner@Hansard ID@OpenPlaques subject identifier@pronunciation audio@member of political party@country@position held@signature@sister city@contains settlement@residence@History of Parliament ID@Dictionary of Welsh Biography ID@medical condition@Munzinger IBA@religion@TGN identifier@SELIBR@capital of@VIAF identifier@ISO 3166-2 code@noble title"
P98,"editor",http://www.wikidata.org/entity/P98,Item,5041,4636,138,9,583,0,5633,"Z39.5 abbreviation@Biblioteca Nacional de Chile catalogue number@Jufo ID@author@JSTOR journal code@ISO 4 abbreviation@LibraryThing work identifier@publication date@LCOC LCCN (bibliographic)@LIBRIS editions@RSL editions@BN (Argentine) editions@ISFDB publication ID@publisher@SWB editions@CrunchBase organisation ID@quote@CODEN@RSL scanned book's identifier@subtitle@place of publication@Nupill Literatura Digital - Document@chief operating officer@Google Books identifier@DNB editions@ISSN@Zentralblatt MATH@price@number of pages@Danish Bibliometric Research Indicator level@Danish Bibliometric Research Indicator (BFI) SNO/CNO@printed by@Scopus Source ID@ERA Journal ID@Regensburg Classification@edition or translation of@SUDOC editions@full text available at@contributor@ISBN-13@NLM Unique ID@OCLC control number@original language of work@ZDB identifier@valid in period@Wikisource index page@NDL editions@frequency of event@translator@ZooBank publication ID@ISFDB series ID@scanned file on Wikimedia Commons@(OBSOLETE) title (use P1476, "title")@streaming media URL@edition(s)@exemplar of@title@ISFDB title ID@edition number@main regulatory text@approved by@archive URL@Wikidata property@mascot@Universal Decimal Classification@topic's main template@programmer"
P1064,"track gauge",http://www.wikidata.org/entity/P1064,Item,5296,5218,9,4,0,0,5300,"type of electrification@train depot@average gradient@route number@daily ridership@terminus@radius@topic's main template@power output@sRGB color hex triplet@detail map@has facility@reporting mark@primary destinations@source of energy@number of cylinders@Commons category@locator map image@cost@Structurae ID (structure)@used by@quantity@speed@country@operator@service retirement@terminus location@connecting service@service entry"
P611,"religious order",http://www.wikidata.org/entity/P611,Item,5385,5207,324,4,1,0,5390,"mother house@catholic.ru identifier@feast day@canonization status@religion@Catholic Hierarchy person ID@SUDOC authorities@Academic Tree ID@place of death@BnF identifier@ISNI@CPDL ID@CERL ID@consecrator@languages spoken or written@VIAF identifier@date of death@NTA identifier (Netherlands)@religious name@GND identifier@LCAuth identifier@Librivox author ID@place of birth@position held@CANTIC@BAV (Vatican Library) identifier@lifestyle@given name@occupation@country of citizenship@Library of Congress Classification@date of birth@EMLO person identifier@godparent@sex or gender@Exceptional heritage of Wallonia identifier@diocese@Dizionario Biografico degli Italiani@Freebase identifier@Open Library identifier@PTBNP identifier@image@DGO4 identifier@separated from@SELIBR@Iconclass notation@MacTutor id (biographies)@Sandrart.net person ID@NUKAT (WarsawU) authorities@SBN identifier@BNE identifier@NLR (Romania) identifier@Nupill Literatura Digital - Author@LIR@Gran Enciclopèdia Catalana ID@NLA (Australia) identifier@(OBSOLETE) influence of@Mérimée identifier@student@NKC identifier@CESAR person ID@Commons category@BNC identifier@Teuchos ID@described by source@PRDL Author ID@People Australia identifier@National Library of Ireland authority@Encyclopædia Britannica Online ID"
P97,"noble title",http://www.wikidata.org/entity/P97,Item,5390,5200,676,8,1,0,5399,"stated as@History of Parliament ID@member of@noble family@Hansard ID@Oxford Biography Index Number@position held@father@child@type of kinship@languages spoken or written@date of death@military branch@mother@National Portrait Gallery (London) person identifier@brother@monogram@pet@described by source@spouse@Academic Tree ID@honorific prefix@genealogics.org person ID@Royal Aero Club Aviator's Certificate ID@Cambridge Alumni Database ID@sister@given name@educated at@date of birth@sex or gender@commander of@home world@godparent@relative@Dutch Senate person ID@country of citizenship@EMLO person identifier@place of death@occupation@Dictionary of Ulster Biography ID@stepmother@conflict@place of burial@Encyclopædia Britannica Online ID@award received@OpenPlaques subject identifier@British Museum person-institution@stepfather@CERL ID@VIAF identifier@speaker@military rank@place of birth@image@Parlement & Politiek ID@date of baptism in early childhood@military casualty classification@killed by@Léonore ID@Rodovid ID@Kaiserhof identifier@depicted by@LCAuth identifier@Sandrart.net person ID@name in native language@SELIBR@partner@EGAXA identifier@National Library of Ireland authority@BAV (Vatican Library) identifier"
P1408,"licensed to broadcast to",http://www.wikidata.org/entity/P1408,Item,5212,5191,10,1,0,0,5213,"FCC Facility ID@radio format@streaming media URL@coordinate location@located in the administrative territorial entity@country"
P2252,"NGA artist id",http://www.wikidata.org/entity/P2252,String,5189,5184,0,0,0,0,5189,"Smithsonian American Art Museum: person/institution thesaurus id@Artsy artist ID@Web Gallery of Art identifier@Commons Creator page@MoMA artist id@RKDartists@ULAN identifier@AGORHA person/institution ID@Thyssen-Bornemisza artist id@British Museum person-institution@National Gallery of Victoria artist identifier@notable work@BBC Your Paintings artist identifier@J. Paul Getty Museum artist id@patron@Stuttgart Database of Scientific Illustrators ID@Musée d'Orsay artist ID@NTA identifier (Netherlands)@Open Library identifier@French Sculpture Census ID@ISNI@CERL ID@movement@LCAuth identifier@Sandrart.net person ID@SUDOC authorities@student of@BALaT person/organisation id@BnF identifier@place of death@GND identifier@described by source@People Australia identifier@CLARA-ID@National Portrait Gallery (London) person identifier@Cooper-Hewitt Person ID@student@languages spoken or written@Sikart@Kunstindeks Danmark Artist ID@VIAF identifier@Gran Enciclopèdia Catalana ID@list of works@CPDL ID@CANTIC@place of birth@date of death@NLR (Romania) identifier@Helveticarchives ID@SELIBR@Dizionario Biografico degli Italiani@Biografisch Portaal number@Encyclopædia Britannica Online ID@Structurae person ID@ISFDB publisher ID@National Library of Ireland authority@influenced by@represented by@occupation@BAV (Vatican Library) identifier@PTBNP identifier@NKC identifier@NLA (Australia) identifier@OpenPlaques subject identifier@country of citizenship@DBNL ID@Commons category@date of birth@given name@EGAXA identifier@BNE identifier@CESAR person ID@Commons gallery@SBN identifier@Freebase identifier@image@field of work@sex or gender@Oxford Biography Index Number@Project Gutenberg author ID@Low German Bibliography and Biography ID@RSL identifier (person)@godparent@Librivox author ID@(OBSOLETE) influence of@NUKAT (WarsawU) authorities@signature@NNDB people ID@academic major@PSS-Archi architect id@Dictionary of Art Historians ID@Munzinger IBA@NILF author id@date of baptism in early childhood@office held by head of the organisation@BiblioNet author identifier@KLfG Kritisches Lexikon der fremdsprachigen Gegenwartsliteratur@NDL identifier@CTHS person ID@feed URL@Perlentaucher ID@relative@member of@Léonore ID@NLI (Israel) identifier@work location@educated at@award received@place of burial@partner@NSK identifier@EMLO person identifier@Sächsische Biografie@GTAA id@date of disappearance@genealogics.org person ID@KulturNav-id@Fashion Model Directory designer ID@lifestyle@filmography@depicted by@medical condition@HDS@Global Anabaptist Mennonite Encyclopedia Online identifier@commemorative plaque image@birth name"
P1644,"EgliseInfo ID",http://www.wikidata.org/entity/P1644,String,5109,5109,0,0,0,0,5109,"Mérimée identifier@diocese@Glad identifier@heritage status@bureau du patrimoine de Seine-Saint-Denis ID@image@Commons category@mother house@PSS-archi ID@coordinate location@located in the administrative territorial entity@dedicated to@Structurae ID (structure)@country@architectural style@architect"
P599,"ITF ID",http://www.wikidata.org/entity/P599,String,5029,5028,2,0,0,0,5029,"singles record@doubles record@ATP ID@WTA ID@playing hand@residence@ranking@handedness@prize money@sport@pet@participant of@retrieved@place of birth@occupation@country of citizenship@name in native language@Munzinger Sport@date of birth@(OBSOLETE) birth name (use P1477)@given name@Freebase identifier@shooting handedness@sex or gender@second surname in Spanish name@Sports Reference ID@Swedish Olympic Committee athlete ID@image@birth name@Commons category@GTAA id@Encyclopædia Britannica Online ID"
P1683,"quote",http://www.wikidata.org/entity/P1683,Monolingual text,8,8,0,2901,2108,0,5017,"dan/kyu rank@referee@main regulatory text@contributor@KLG Kritisches Lexikon der Gegenwartsliteratur@Munzinger IBA@subtitle@Perlentaucher ID@biography at the Bundestag of Germany@editor@student of@image of grave@logo image@notable work@GND identifier@point in time@NKC identifier@ISSN@religion@award received@languages spoken or written@native language@spouse@LCAuth identifier@Open Library identifier@main subject@subclass of@Commons category@place of birth@VIAF identifier@IMDb identifier@employer@given name@country of citizenship@occupation@participant of@member of@sex or gender@date of birth@MusicBrainz artist ID@title@NTA identifier (Netherlands)@part of@member of political party@image@inception@Freebase identifier@position held"
P1748,"NCI Thesaurus ID",http://www.wikidata.org/entity/P1748,String,5438,4988,0,0,0,0,5438,"Disease Ontology ID@MeSH ID@ICD-10@ICD-9@medical specialty@DiseasesDB@eMedicine@MedlinePlus ID@OMIM ID@DSM V@MalaCards ID@Patientplus ID@mode of inheritance@ICD-O@PubMed Health@internetmedicin.se ID@medical examinations@GeneReviews ID@has natural reservoir@prevalence@pathogen transmission process@subclass of@genetic association@drug used for treatment@DSM IV@National Cancer Institute ID@ICPC 2 ID@Orphanet ID@medical treatment@contributing factor of@YSO ID@has contributing factor@anatomical location@number of cases@afflicts@medical condition treated@has cause@BNCF Thesaurus@symptoms@date of taxon name publication@has immediate cause@NALT id@cause of@MeSH Code@NSK identifier@venous drainage@conversion to SI base unit"
P486,"MeSH ID",http://www.wikidata.org/entity/P486,String,5051,4946,0,0,32,0,5083,"ICD-10@NCI Thesaurus ID@Disease Ontology ID@ICD-9@medical specialty@DiseasesDB@eMedicine@MedlinePlus ID@OMIM ID@World Health Organisation International Nonproprietary Name@ATC code@Drugbank ID@NDF-RT ID@IUPHAR ID@Patientplus ID@KEGG ID@ChEMBL ID@ChEBI ID@mode of inheritance@MalaCards ID@DSM V@magnetic ordering@GeneReviews ID@pathogen transmission process@PubMed Health@prevalence@ICD-O@medical examinations@internetmedicin.se ID@ICD-9-CM@Orphanet ID@significant drug interaction@National Cancer Institute ID@ICPC 2 ID@UNII@ChemSpider ID@drug used for treatment@operations and procedures key (OPS)@has natural reservoir@NIAID ChemDB ID@ATCvet@InChIKey@InChI@canonical SMILES@medical treatment@medical condition treated@PubChem ID (CID)@PubChem Substance ID@Nikkaji@CAS registry number@genetic association@chemical formula@ZINC ID@DSM IV@anatomical location@subclass of@number of cases@flattening@chemical structure@contributing factor of@YSO ID@HMDB ID@BNCF Thesaurus@has cause@has contributing factor@afflicts@WikiPathways ID@Gmelin number@electronegativity@measured by@minimum explosive concentration@oxidation state@radius@symptoms@NALT id@route of administration@has immediate cause@cause of@Beilstein Registry Number@NFPA Other@MeSH Code@Freebase identifier@ZVG number@date of taxon name publication@speed of sound@astronomic symbol image@decomposition point@RTECS number@NFPA Reactivity@NFPA Health@NFPA Fire@EINECS number@E number@lymphatic drainage@venous drainage@solubility@PSH ID@volume for quantity@element symbol@NSK identifier@melting point@UN number@ceiling exposure limit@has part@applies to part@notation@OmegaWiki Defined Meaning@mass (weight)@BNC identifier@vapor pressure@NDL identifier@NIOSH Pocket Guide ID@time-weighted average exposure limit@arterial supply@density@boiling point@ionization energy@IDLH"
P1411,"nominated for",http://www.wikidata.org/entity/P1411,Item,13773,4971,13745,7,0,0,13780,"film editor@AllMovie movie ID@Rotten Tomatoes identifier@AlloCiné movie ID@director of photography@AlloCiné person ID@SFDb person ID@AllMovie artist ID@MovieMeter movie ID@producer@screenwriter@color@Danish National Filmography ID@composer@FilmAffinity identifier@Box Office Mojo film ID@Internet Broadway Database person ID@Elonet actor ID@PORT person ID@Netflix identifier@filmography@executive producer@narrative location@Elonet movie ID@box office@cast member@title@director@filming location@Metacritic ID@production company@IMDb identifier@PORT film ID@award received@NNDB people ID@country of origin@genre@soundtrack album@narrator@ISFDB publication ID@SFDb movie ID@original language of work@based on@MovieMeter director ID@publication date@charge@ISWC@LCAuth identifier@Munzinger IBA@Internet Broadway Database production ID@MPAA film rating@ISNI@GND identifier@BnF identifier@SUDOC authorities@spouse@Soccerbase player id@KMDb person ID@partner@CANTIC@review score@Freebase identifier@ISFDB title ID@list of episodes@NMHH film rating@pet@Project Gutenberg ebook ID@VIAF identifier@main subject@lifestyle@Internet Broadway Database show ID@duration@place of birth@list of works@number of episodes@working title@cause of death@Find a Grave grave ID@manner of death@represented by@FSK film rating@residence@audio recording of the subject's spoken voice@BoardGameGeek ID@Discogs label ID@godparent@number of children@BNE identifier@cost@set in period@official website@prize money@country of citizenship@occupation@image@distributor@influenced by@MoMA artist id@MusicBrainz artist ID@list of characters@Spotify artist ID@stepmother@cover artist@Commons category@educated at@(OBSOLETE) influence of@date of birth@streaming media URL@KLfG Kritisches Lexikon der fremdsprachigen Gegenwartsliteratur@genealogics.org person ID@place of death@Internet Archive identifier@given name@discography@ethnic group@ISFDB series ID@aspect ratio@official residence@sex or gender@Encyclopædia Britannica Online ID@FAST-ID@NKC identifier@GTAA id@NLR (Romania) identifier@Munzinger Pop identifier@AlloCiné series ID@hair color@Commons gallery@OpenPlaques subject identifier@place of burial@birth name@NLC authorities@child@Facebook ID@EGAXA identifier@inspired by@languages spoken or written@Discogs artist ID@business division@Gran Enciclopèdia Catalana ID@foundational text@National Portrait Gallery (London) person identifier@People Australia identifier@sexual orientation@BIBSYS identifier@sponsor@beats per minute@medical condition@SELIBR@AllMusic artist ID@stepfather@NDL identifier@MoMA artwork id@describes the fictional universe@SBN identifier"
P117,"chemical structure",http://www.wikidata.org/entity/P117,Commons media,4967,4935,0,1,0,0,4968,"ChEBI ID@UNII@EINECS number@InChI@InChIKey@PubChem ID (CID)@canonical SMILES@ChemSpider ID@CAS registry number@ChEMBL ID@KEGG ID@chemical formula@RTECS number@Drugbank ID@ZVG number@melting point@vapor pressure@NIOSH Pocket Guide ID@ionization energy@density@ATC code@boiling point@time-weighted average exposure limit@mass (weight)@solubility@lower flammable limit@upper flammable limit@World Health Organisation International Nonproprietary Name@flash point@Beilstein Registry Number@IDLH@NDF-RT ID@UN number@maximum peak exposure limit@UN class@Kemler ID@CDB Chemical ID@NIAID ChemDB ID@explosive velocity@phase point@UN code classification@fusion enthalpy@combustion enthalpy@EC classification@CDD Public ID@kinematic viscosity@substrate of@cause of@IUPHAR ID@speed of sound@ATCvet@short-term exposure limit@Open Food Facts food additive slug@ceiling exposure limit@has part@HMDB ID@UN packaging group@PubChem Substance ID@Nikkaji@decomposition point@KNApSAcK ID@sublimation temperature@GHS precautionary statements@NFPA Other@refractive index@ZINC ID@HSDB ID@thermal conductivity@enthalpy of vaporization@NFPA Reactivity@NFPA Health@NFPA Fire@minimum explosive concentration@GHS hazard statement@GHS signal word@E number@significant drug interaction@Colour Index International constitution ID@regulates (molecular biology)@LIPID MAPS ID@median lethal dose@medical condition treated@Gmelin number@phase of matter@MeSH ID@pKa@isomeric SMILES@fracturing@route of administration@twinning@streak color@physically interacts with@Freebase identifier@Mohs' hardness@NALT id@BNCF Thesaurus@ICD-10@crystal system@PSH ID@AAT identifier@point group"
P2174,"MoMA artist id",http://www.wikidata.org/entity/P2174,String,4917,4916,0,0,0,0,4917,"Artsy artist ID@NGA artist id@Smithsonian American Art Museum: person/institution thesaurus id@RKDartists@ULAN identifier@National Gallery of Victoria artist identifier@CLARA-ID@Thyssen-Bornemisza artist id@represented by@ISNI@NTA identifier (Netherlands)@SUDOC authorities@LCAuth identifier@BnF identifier@GND identifier@movement@languages spoken or written@French Sculpture Census ID@AGORHA person/institution ID@Munzinger IBA@Sikart@notable work@Cooper-Hewitt Person ID@place of death@VIAF identifier@Open Library identifier@CANTIC@GitHub username@Musée d'Orsay artist ID@BBC Your Paintings artist identifier@place of birth@Commons Creator page@filmography@IRS Employer Identification Number@British Museum person-institution@MovieMeter director ID@Kunstindeks Danmark Artist ID@award received@patron@ISFDB publisher ID@educated at@People Australia identifier@PSS-Archi architect id@date of death@Gran Enciclopèdia Catalana ID@occupation@country of citizenship@Legal Entity Identifier@NDL identifier@date of birth@influenced by@given name@IPI number@Freebase identifier@Elonet actor ID@motto@sex or gender@SFDb person ID@Dodis@SELIBR@National Portrait Gallery (London) person identifier@Perlentaucher ID@AllMovie artist ID@Encyclopædia Britannica Online ID@student of@NKC identifier@AlloCiné person ID@SBN identifier@office held by head of the organisation@Fashion Model Directory designer ID@OpenPlaques subject identifier@PORT person ID@nominated for@DAAO identifier@image@Commons category@NNDB people ID@KMDb person ID@Web Gallery of Art identifier@feed URL@NLR (Romania) identifier@National Library of Ireland authority@EGAXA identifier@partner@GTAA id@spouse@student@member of@audio recording of the subject's spoken voice@Stuttgart Database of Scientific Illustrators ID@BNE identifier@cause of death@manner of death@ODIS ID@signature@NLA (Australia) identifier@list of works@KulturNav-id@medical condition@KLfG Kritisches Lexikon der fremdsprachigen Gegenwartsliteratur@KDG Komponisten der Gegenwart@DBNL ID@NILF author id@NLC authorities@date of disappearance@work location@business division@PTBNP identifier@place of burial@Magdeburger Biographisches Lexikon@genealogics.org person ID@stepfather@NLI (Israel) identifier@exhibition history@chief executive officer@contributor@Project Gutenberg author ID@NSZL identifier"
P809,"WDPA id",http://www.wikidata.org/entity/P809,String,4650,4640,12,4,271,0,4925,"IUCN protected areas category@INPN Code@CGNDB Unique Identifier@Banque de noms de lieux du Québec id@foundational text@World Heritage Site id@named after@BC Geographical Names ID@Alberta Register of Historic Places identifier@coordinate location@Naturbase ID@Wikivoyage banner@Commons category@located in the administrative territorial entity@vici.org ID@country@image@located on terrain feature@maintained by@State Catalogue of Geographical Names identifier (Russia)@FIPS 5-2 (code for US states)@detail map@Canadian Register of Historic Places identifier@located next to body of water@Freebase identifier"
P300,"ISO 3166-2 code",http://www.wikidata.org/entity/P300,String,4922,4912,26,0,0,0,4922,"FIPS 10-4 (countries and regions)@MusicBrainz area ID@NUTS code@category for films shot at this location@category of associated people@capital@coordinate of westernmost point@coordinate of easternmost point@coordinate of southernmost point@coordinate of northernmost point@FIPS 5-2 (code for US states)@GNS Unique Feature Identifier@flag image@Dewey Decimal Classification@Swedish county code@UBIGEO code@Wikivoyage banner@category for people born here@category for people who died here@shares border with@official symbol@total expenditure@locator map image@female population@male population@topic's main Wikimedia portal@highest judicial authority@legislative body@executive body@Iran statistics ID@flag@coat of arms image@contains administrative territorial entity@enclave within@category of people buried here@inflation rate@dmoz@ATVK ID@country calling code@topic's main category@party chief representative@Geokod@number of households@OpenStreetMap Relation identifier@separated from@coat of arms@IHSI ID@highest point@located in time zone@GSS code (2011)@German regional key@history of topic@FAST-ID@anthem@motto@top-level domain@unemployment rate@seal image@TGN identifier@relief location map@public holiday@detail map@GeoNames ID@seal description@central bank@official language@office held by head of government@ISO 3166-1 numeric code@ISO 3166-1 alpha-2 code@ISO 3166-1 alpha-3 code@executive authority@Human Development Index@foundational text@head of government@licence plate code@exclave of@WOEID@demonym@motto text@Freebase identifier@sister city@location map@drives on the@external data available at@gini coefficient@Commons category@IPA@Ballotpedia ID@currency@located next to body of water@pronunciation audio@archives at@coordinate location@Commons gallery@official website@located in the administrative territorial entity@Philippine Standard Geographic Code@IOC country code@bureau du patrimoine de Seine-Saint-Denis ID@office held by head of state@list of monuments@GNIS ID@OS grid reference@population@territory claimed by@replaces@M.49 code@country@dantai code@Gran Enciclopèdia Catalana ID@OmegaWiki Defined Meaning@income classification (Philippines)@Brazilian municipality code@Global Anabaptist Mennonite Encyclopedia Online identifier@named after@diplomatic relation@BnF identifier@head of state@image@local dialing code@FIPS 6-4 (US counties)@GND identifier@electorate@LAU@Thailand central administrative unit code@NIS/INS code@VIAF identifier@native label@time of earliest written record@main regulatory text@place name sign@stated in@deepest point@replaced by"
P1140,"EHAK id",http://www.wikidata.org/entity/P1140,String,4906,4878,0,23,0,0,4929,"population@GeoNames ID@enclave within@coordinate location@located in the administrative territorial entity@Freebase identifier@country@flag image"
P1967,"BoxRec ID",http://www.wikidata.org/entity/P1967,String,4875,4875,0,1,0,0,4876,"date of birth@occupation@country of citizenship@participant of@Munzinger Sport@place of birth@given name@sex or gender@Sports Reference ID@represents organisation@(OBSOLETE) birth name (use P1477)@Freebase identifier"
P636,"route of administration",http://www.wikidata.org/entity/P636,Item,3131,831,69,4036,0,0,7167,"first aid measures@symptoms@afflicts@has cause@VIOLIN ID@Vaccine Ontology ID@ATCvet@NIAID ChemDB ID@medical treatment@drug used for treatment@PubChem Substance ID@ATC code@vaccine for@medical condition treated@pKa@NFPA Reactivity@NFPA Fire@NFPA Health@NDF-RT ID@minimum explosive concentration@World Health Organisation International Nonproprietary Name@ICD-10@significant drug interaction@IUPHAR ID@Drugbank ID@chemical structure@GHS signal word@medical examinations@KEGG ID@ChEMBL ID@subclass of@ChEBI ID@UNII@CAS registry number@PubChem ID (CID)@HMDB ID@cause of@ChemSpider ID@InChIKey@MeSH ID@canonical SMILES@InChI@decomposition point@E number@chemical formula@solubility@natural product of taxon@ZVG number@RTECS number@MedlinePlus ID@time-weighted average exposure limit@melting point@vapor pressure@Beilstein Registry Number@NIOSH Pocket Guide ID@Patientplus ID@mass (weight)@IDLH@medical specialty@has part@coincident with@DiseasesDB@MeSH Code@density"
P484,"IMA Number, broad sense",http://www.wikidata.org/entity/P484,String,3919,3791,311,1071,2,0,4992,"IMA status and/or rank@Nickel-Strunz 10th (pending) edition@Nickel-Strunz 9th edition (updated 2009)@Strunz 8th edition (series ID)@crystal system@Dana 8th edition@space group@chemical formula@cleavage@Mohs' hardness@streak color@Solid solution series with@fracturing@general formula@named after@subclass of@twinning@refractive index@point group@decomposition point"
P1651,"YouTube video identifier",http://www.wikidata.org/entity/P1651,String,4904,4841,201,2,5,0,4911,"Spotify track ID@charted in@iTunes album ID@beats per minute@record label@performer@Spotify album ID@MusicBrainz work ID@referee@lyrics by@follows@followed by@AllMusic song ID@b-side@named as@MusicBrainz release group ID@DNB editions@students count@Discogs release ID@ISWC@Discogs master ID@CrunchBase person ID@working title@International Standard Recording Code@attendance@duration@e-mail@Freebase identifier@LinkedIn personal profile URL@list of works@video@Netflix identifier@recorded at@contributor@mascot@executive producer@phone number"
P722,"UIC station code",http://www.wikidata.org/entity/P722,String,4801,4797,0,0,0,0,4801,"connecting line@located in time zone@connecting service@adjacent station@date of official opening@part of@station code@image@coordinate location@country@located in the administrative territorial entity@Glad identifier@Commons category@interchange station@IBNR identifier@number of platform tracks@PSS-archi ID@architect@has facility"
